Record creation date,Maker,Model,Model year,Begin date of manufacturing,End date of manufacturing,Potential number of units affected,Defect summary,Consequence summary,Corrective summary
20150107,VICTORY,JACKPOT,2014,20130424,20131204,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,HIGH BALL,2014,20130502,20131204,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,CROSS ROADS EIGHT BALL,2014,20130515,20131010,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,CROSS COUNTRY EIGHT BALL,2014,20130515,20131010,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,CROSS COUNTRY,2014,20130430,20131010,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,CROSS COUNTRY,2013,20130430,20131010,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,NESS CROSS COUNTRY,2014,20130515,20131009,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,CROSS ROADS,2014,20130430,20130925,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,CROSS ROADS,2013,20130430,20130925,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,HARDBALL,2013,20130501,20130718,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150108,THOR,PALAZZO,2015,20140424,20141211,154,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150108,THOR,CHALLENGER,2015,20140424,20141211,154,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150108,THOR,HURRICANE,2015,20140424,20141211,154,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150108,THOR,FOUR WINDS 5000,2015,20140424,20141211,154,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150108,THOR,WINDSPORT,2015,20140424,20141211,154,"Tireco Inc. (Tireco) is recalling certain Milestar BS623 Premium All Position tires, size 225/70R19.5, and Milestar BD733 Regional Open Shoulder Drive tires, size 225/70R19.5, manufactured June 9, 2014, to September 28, 2014. The affected tires may crack in the lower sidewall.","Tires that have cracks in the lower sidewall have an increased risk of a sudden failure, increasing the risk of a crash.","Tireco will notify owners, and purchasers of the affected tires will receive full refunds.  The recall is expected to begin February 27, 2015.  Owners may contact Tireco customer service at 1-310-767-7990. "
20150108,THOR,CHATEAU CITATION,2015,20140424,20141211,154,"Tireco Inc. (Tireco) is recalling certain Milestar BS623 Premium All Position tires, size 225/70R19.5, and Milestar BD733 Regional Open Shoulder Drive tires, size 225/70R19.5, manufactured June 9, 2014, to September 28, 2014. The affected tires may crack in the lower sidewall.","Tires that have cracks in the lower sidewall have an increased risk of a sudden failure, increasing the risk of a crash.","Tireco will notify owners, and purchasers of the affected tires will receive full refunds.  The recall is expected to begin February 27, 2015.  Owners may contact Tireco customer service at 1-310-767-7990. "
20150108,THOR,CHATEAU,2015,20140424,20141211,154,"Dana Driveshaft Manufacturing, LLC (Dana) is recalling certain commercial vehicle lightweight driveshafts, model  SPL250, sizes 1610-2200 or 2220-2830, manufactured January 2, 2013, through June 30, 2013.  In affected driveshafts, the welded bond of the driveshaft and the rear yoke may fail, leading to slippage between the driveshaft and yoke and, potentially, to loss of torque to the rear wheels.","If the welded bond fails and results in a loss of torque to the rear wheels, the vehicle operator may be unable to move the vehicle, or may experience deceleration if the vehicle is in motion, increasing the risk of a vehicle crash.","Dana will notify owners, and dealers will replace the driveshafts, free of charge. The manufacturer has not yet provided a notification schedule. Owners may contact Dana customer service at 1-419-887-3000.  Note: This recall is an expansion of 14E-050. "
20150108,THOR,MIRAMAR,2015,20140424,20141211,154,"Nova Bus (Nova) is recalling certain model year 2006-2007 LFS transit buses manufactured January 1, 2006, to December 31, 2007.  In the affected vehicles, the rear exit door controls may not function properly.","If the rear exit door does not open and close as expected, there is an increased risk of injury to bus occupants.","Nova notified owners, and dealers corrected the exit door control programming, free of charge.  Owners may contact Nova customer service at 1-450-472-6410. Nova's number for this recall is CR1300."
20150108,LANCE,TRAVEL TRAILER,2015,20140801,20141027,169,"Nova Bus (Nova) is recalling certain model year 2006-2007 LFS transit buses manufactured January 1, 2006, to December 31, 2007.  In the affected vehicles, the rear exit door controls may not function properly.","If the rear exit door does not open and close as expected, there is an increased risk of injury to bus occupants.","Nova notified owners, and dealers corrected the exit door control programming, free of charge.  Owners may contact Nova customer service at 1-450-472-6410. Nova's number for this recall is CR1300."
20150108,LANCE,SLIDE-IN CAMPER,2015,20140801,20141027,169,"Nova Bus (Nova) is recalling certain model year 2006-2007 LFS transit buses manufactured January 1, 2006, to December 31, 2007.  In the affected vehicles, the rear exit door controls may not function properly.","If the rear exit door does not open and close as expected, there is an increased risk of injury to bus occupants.","Nova notified owners, and dealers corrected the exit door control programming, free of charge.  Owners may contact Nova customer service at 1-450-472-6410. Nova's number for this recall is CR1300."
20150109,APRILIA,SHIVER 750,2015,20140210,20141028,337,"Nova Bus (Nova) is recalling certain model year 2006-2007 LFS transit buses manufactured January 1, 2006, to December 31, 2007.  In the affected vehicles, the rear exit door controls may not function properly.","If the rear exit door does not open and close as expected, there is an increased risk of injury to bus occupants.","Nova notified owners, and dealers corrected the exit door control programming, free of charge.  Owners may contact Nova customer service at 1-450-472-6410. Nova's number for this recall is CR1300."
20150109,APRILIA,SHIVER 750,2014,20140210,20141028,337,"Nova Bus (Nova) is recalling certain model year 2007 LFS transit buses manufactured January 1, 2007, to December 31, 2007.  Two wires in the antilock brake system (ABS) connector may be reversed, and the ABS may be disabled.","Without a functioning antilock brake system, there is an increased risk of a crash.","Nova notified owners, and dealers inspected and corrected the position of the wires, as necessary, free of charge.  Owners may contact Nova customer service at 1-450-472-6410. Nova's number for this recall is CR1287."
20150109,APRILIA,CAPONORD 1200,2015,20131114,20141016,337,"Nova Bus (Nova) is recalling certain model year 2009 LFS transit buses manufactured January 1, 2009, to December 31, 2009.  The affected buses may have an incorrectly wired main power relay circuit, causing the circuit protection to be defeated.","If the incorrectly wired circuit short circuits, there would be an increased risk of a fire. ","Nova notified owners, and dealers corrected the main power relay circuit wiring, free of charge.  Owners may contact Nova customer service at 1-450-472-6410. Nova's number for this recall is CR1366."
20150109,LINCOLN,MKC,2015,20130820,20140909,11144,"Nova Bus (Nova) is recalling certain model year 2008 LFS transit buses manufactured January 1, 2008, to December 31, 2008.  Surrounding material may interfere with opening of the emergency exit windows, making them more difficult to open.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) No. 217, ""Bus Emergency Exits and Window Retention and Release.""","An emergency exit that is difficult to open may hinder egress in the event of an emergency, increasing the risk of  injury. ","Nova has notified owners, and dealers removed any material that restricted the opening of the emergency exit, free of charge.  Owners may contact Nova customer service at 1-450-472-6410.  Nova's number for this recall is CR1314."
